record_id,concept_id,platform,proposed_local_datetime,timezone,status,image_path,caption_location,ai_disclosure_required,owner_approval_required,externally_scheduled
AKI-05-IG,05,Instagram,2026-08-12 18:00,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/instagram/05.jpg,APPROVAL-PACK.md#instagram-post-05,true,true,false
AKI-05-FB,05,Facebook,2026-08-12 18:15,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/facebook/05.jpg,APPROVAL-PACK.md#facebook-post-05,true,true,false
AKI-05-X,05,X,2026-08-12 18:30,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/x/05.jpg,APPROVAL-PACK.md#x-post-05,true,true,false
AKI-06-IG,06,Instagram,2026-08-13 12:00,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/instagram/06.jpg,APPROVAL-PACK.md#instagram-post-06,true,true,false
AKI-06-FB,06,Facebook,2026-08-13 12:15,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/facebook/06.jpg,APPROVAL-PACK.md#facebook-post-06,true,true,false
AKI-06-X,06,X,2026-08-13 12:30,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/x/06.jpg,APPROVAL-PACK.md#x-post-06,true,true,false
AKI-07-IG,07,Instagram,2026-08-14 10:00,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/instagram/07.jpg,APPROVAL-PACK.md#instagram-post-07,true,true,false
AKI-07-FB,07,Facebook,2026-08-14 10:15,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/facebook/07.jpg,APPROVAL-PACK.md#facebook-post-07,true,true,false
AKI-07-X,07,X,2026-08-14 10:30,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/x/07.jpg,APPROVAL-PACK.md#x-post-07,true,true,false
AKI-08-IG,08,Instagram,2026-08-15 10:00,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/instagram/08.jpg,APPROVAL-PACK.md#instagram-post-08,true,true,false
AKI-08-FB,08,Facebook,2026-08-15 10:15,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/facebook/08.jpg,APPROVAL-PACK.md#facebook-post-08,true,true,false
AKI-08-X,08,X,2026-08-15 10:30,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/x/08.jpg,APPROVAL-PACK.md#x-post-08,true,true,false
AKI-09-IG,09,Instagram,2026-08-15 18:00,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/instagram/09.jpg,APPROVAL-PACK.md#instagram-post-09,true,true,false
AKI-09-FB,09,Facebook,2026-08-15 18:15,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/facebook/09.jpg,APPROVAL-PACK.md#facebook-post-09,true,true,false
AKI-09-X,09,X,2026-08-15 18:30,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/x/09.jpg,APPROVAL-PACK.md#x-post-09,true,true,false
AKI-10-IG,10,Instagram,2026-08-16 11:00,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/instagram/10.jpg,APPROVAL-PACK.md#instagram-post-10,true,true,false
AKI-10-FB,10,Facebook,2026-08-16 11:15,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/facebook/10.jpg,APPROVAL-PACK.md#facebook-post-10,true,true,false
AKI-10-X,10,X,2026-08-16 11:30,America/Anchorage,READY_FOR_OWNER_REVIEW,images-v2/x/10.jpg,APPROVAL-PACK.md#x-post-10,true,true,false
